content_id,title,text,section,category,content_tier,content_length,authors,published_date,keywords,summary,url,top_image
1576747,Earnings for Power Root set to recover next year,"PETALING JAYA: Beverage company Power Root Bhd ’s core earnings are expected to bottom this year before rebounding next year due to higher raw-material costs and a slower recovery for its earnings, export sales.

CGS International (CGSI) Research said it is still positive on Power Root’s local revenue growth but believes the struggles with its export markets will continue for the rest of this year.

Its Middle East sales were expected to stay flat, before recovering to 2023’s levels in next year as it replaces its distributor in Saudi Arabia again, and looks to cooperate with other distributors.

CGSI Research said the company had managed to lock in pricing for most of its raw materials till next March, though it remains higher than expected.

The research house said it expected Power Root to only deliver a three-year compounded annual growth rate (CAGR) of 2% in core profit from 2024 to 2027, supported by steady local revenue growth and stabilising input costs.

Its local revenue is expected to expand at a three-year CAGR of 8% in the same period, buoyed by improved macroeconomic trends fuelling improved consumer sentiment and spending.

The research house maintained its “hold” call for the stock with a lower target price of RM1.34 as it believes a recovery in earnings had been priced in by the market.

Power Root closed at RM1.38 yesterday.",Business,Corporate News,Complimentary,Short,,2025-03-13 00:00:00,"Corporate News,PowerRoot,BeverageMarket,ExportChallenges,RevenueGrowth,RawMaterialCosts,ConsumerSpending","Beverage company Power Root Bhd's core earnings are expected to bottom this year before rebounding next year due to higher raw-material costs and a slower recovery for its earnings, export sales.",https://www.thestar.com.my/business/business-news/2025/03/13/earnings-for-power-root-set-to-recover-next-year,https://apicms.thestar.com.my/uploads/images/2025/03/13/3210532.JPG
1540699,"Trading ideas: Sunway, Sime Darby Property, Jentayu, Solar, TechStore, CLMT, Sentral, AME, Gadang, Hua Yang, Aneka","KUALA LUMPUR: Here is a recap of the announcements that made headlines in Corporate Malaysia.

Sunway Bhd has started the ball rolling for the initial public offer of its healthcare unit Sunway Healthcare Group, according to sources.

Arina, Sime Darby Property Bhd ’s first single-storey linked homes in Bandar Ainsdale, achieved full take-up of all 118 units within hours of its launch on 18 January 2025. Arina is scheduled for completion in October 2026.

Power Root Bhd has been slapped with a lawsuit from Export-Import Bank of Malaysia Bhd for RM7.4mn over insurance claim payout dispute.

Jentayu Sustainables Bhd said the Securities Commission Malaysia has denied the group’s bid for an extension of time up to 26 March 2025, to complete its acquisition of three RE firms proposed in 2021.

The public portion of ACE Market-bound Northern Solar Holdings Bhd’s initial public offering has been oversubscribed by 73.2 times. The group had received 25,772 applications for 1.5bn shares valued at RM924.6mn.

TechStore Bhd, which provides hardware and software to businesses, has fixed its IPO price at 20.0sen/share ahead of its listing on the ACE Market of Bursa Malaysia.

Capitaland Malaysia Trust posted a 15.0% YoY rise in its net property income for the 4QFY24 to RM72.5mn on higher revenue contribution from the majority of CLMT’s properties, supported by stronger retail sentiment.

Sentral REIT posted a flat 1.3% YoY increase in NPI for 4QFY24 to RM36.7mn. Quarterly revenue increased 5.5% YoY to RM47.4mn, mainly due to higher revenue generated from Menara CelcomDigi, Sentral Building 3, Sentral Building 1 and Sentral Building 2.

AME Real Estate Investment Trust reported a 1.4% YoY increase in NPI for the 3QFY25 to RM11.7mn, thanks to contributions from a newly-acquired property and tenancy renewals at higher rates.

Gadang Holdings Bhd 2QFY25 net profit rose more than 5-fold to RM7.1mn, mainly due to a higher contribution from the Construction Division and the reversal of impairment losses on a joint ventures project.

Hua Yang Berhad 3QFY25 net profit declined by 4.3% YoY to RM2.3mn mainly due to completion of Aston Acacia, Bukit Mertajam in the quarter under review.

Aneka Jaringan Holdings Bhd reported a 68.5% YoY increase in net profit to RM2.1mn for the 1QFY25. Quarterly revenue rose 35.2% YoY to RM79.5mn. The Group’s total order book as at 30 November 2024 stood at RM217.4mn.",Business,Corporate News,Complimentary,Medium,,2025-01-23 00:00:00,"Corporate News,Trading ideas,Sunway,Sime Darby Property,Jentayu,Solar,TechStore,CLMT,Sentral,AME,Gadang,Hua Yang,Aneka",KUALA LUMPUR: Here is a recap of the announcements that made headlines in Corporate Malaysia.,https://www.thestar.com.my/business/business-news/2025/01/23/trading-ideas-sunway-sime-darby-property-jentayu-solar-techstore-clmt-sentral-ame-gadang-hua-yang-aneka,https://apicms.thestar.com.my/uploads/images/2025/01/23/3132106.jpg
1509964,"Trading ideas: Gamuda, SkyWorld, PGF, FGV, Mega First, JHM, MN, OCK, Sunview, Power Root, SNS","KUALA LUMPUR: Here is a recap of the announcements that made headlines in Corporate Malaysia.

Gamuda Bhd is acquiring a 20% stake in Cloud Space Sdn Bhd, a Google Cloud premier partner, for RM18mn.

Skyworld Development Bhd has signed an agreement with the Penang state agencies to jointly develop the country's largest affordable housing project that is valued at RM13bn.

PGF Capital Bhd is acquiring two parcels of freehold land, totalling approximately 9.6 acres in Kulim Hi-Tech Park, Kedah, for a mixed development project, which will include a condominium, hotel, serviced residences, and several commercial elements valued at RM600mn.

FGV Holdings Bhd announced that its plan to develop an integrated dairy farm business in Chuping, Perlis has lapsed due to the expiration of the deadline for meeting the necessary conditions precedent in the shareholders' agreement.

Mega First Corporation Bhd , which has added a fifth turbine generator unit to boost the power generation capacity of its Don Sahong hydropower project in Laos, has secured a five-year extension to its 25-year concession for the project.

JHM Consolidation Bhd ’s 52%-owned subsidiary JHM Dekai Auto Lighting Sdn Bhd has secured a contract with an estimated value of RM300mn for the supply of parts for specific car models to Perusahaan Otomobil Nasional Sdn Bhd.

MN Holdings Bhd has won a contract worth RM162.6mn for design and building works at a hyperscale data centre in the southern region of Peninsular Malaysia.

OCK Group Bhd is expanding its renewable energy portfolio with a proposed RM350mn investment in a large-scale solar photovoltaic power plant in Malaysia through Solarpack Suria Sungai Petani Sdn Bhd.

Sunview Group Bhd through its wholly owned unit Fabulous Sunview Sdn Bhd, has secured two contracts worth a combined RM196.1mn to build two ground-mounted photovoltaic solar power plants with an installed capacity of 40MWp in Sungai Petani, Kedah.

Power Root Bhd had inked a sale and purchase agreement with Ree Fong Agriculture Sdn Bhd for the acquisition of five lots of freehold agricultural land in Kulai, Johor, for a cash consideration of RM20.0mn.

SNS Network Technology Bhd has reported a five-fold rise in its 3QFY25 net profit to RM10.2mn from RM2.0n a year earlier, on improved margins and sales in both online and physical store channels.",Business,Corporate News,Complimentary,Medium,,2024-12-11 00:00:00,"Corporate News,Trading ideas,Gamuda,SkyWorld,PGF,FGV,Mega First,JHM,MN,OCK,Sunview,Power Root,SNS",KUALA LUMPUR: Here is a recap of the announcements that made headlines in Corporate Malaysia.,https://www.thestar.com.my/business/business-news/2024/12/11/trading-ideas-gamuda-skyworld-pgf-fgv-mega-first-jhm-mn-ock-sunview-power-root-sns,https://apicms.thestar.com.my/uploads/images/2024/12/11/3063001.jpg
1509765,Power Root buys land worth RM20mil,"PETALING JAYA: Power Root Bhd had inked a sale and purchase agreement (SPA) with Ree Fong Agriculture Sdn Bhd for the acquisition of five lots of freehold agricultural land in Kulai, Johor, for a cash consideration of RM19.99mil.

In a filing with Bursa Malaysia, it said the purchase consideration for the acquisition of the 3,483,524 sq ft land was determined via a willing-buyer and willing-seller basis, after taking into consideration the prevailing market value of the land within the vicinity and location.

Estimated to be completed within three months from the SPA date, Power Root said RM1.99mil or 10% will serve as the deposit and part payment of the agreement, while the remaining 90% or RM17.99mil will be paid within the three months period.",Business,Corporate News,Complimentary,Short,,2024-12-11 00:00:00,"Corporate News,PowerRoot,LandAcquisition,AgriculturalLand,PropertyInvestment","Power Root Bhd had inked a sale and purchase agreement (SPA) with Ree Fong Agriculture Sdn Bhd for the acquisition of five lots of freehold agricultural land in Kulai, Johor, for a cash consideration of RM19.99mil.",https://www.thestar.com.my/business/business-news/2024/12/11/power-root-buys-land-worth-rm20mil,https://apicms.thestar.com.my/uploads/images/2024/12/11/3062908.JPG
1435143,"Trading ideas: Cypark, Power Root, Solarvest, Alpha IVF, AWC, Wellcall, MMHE, Euro, Sorento, OB, Magni-Tech","KUALA LUMPUR: Here is a recap of the announcements that made headlines in Corporate Malaysia.

Cypark Resources Bhd is deferring its periodic distribution for its RM235mn tranche 1 perpetual sukuk, due Wednesday, to focus on meeting the commercial operations date for its 60MW floating solar plant in Kelantan.

Power Root Bhd has submitted the necessary documents to the Securities Commission of Malaysia for the Islamic Medium-Term Notes of up to RM500mn in nominal value to raise funds.

Solarvest Holdings Bhd has secured a RM113.3mn contract from P Solar Sdn Bhd to construct a 30MW solar plant in Pekan, Pahang.

Affin Bank Bhd has launched its private banking service designed for individuals with investable assets of RM2mn or more.

Alpha IVF Group Bhd is venturing into the Philippine medical business, focusing on obstetrics and gynaecology as well as fertility, as it formed a joint-venture with two doctors from that country.

AWC Bhd has received a letter of award worth RM19.9mn from Gamuda Engineering Sdn Bhd for construction works related to a data centre project in Rawang, Gombak.

Wellcall Holdings Bhd is looking to acquire three parcels of contiguous vacant leasehold industrial land in Kinta, Perak for RM32mn.



Hexza Corp Bhd said on Tuesday it had acquired 50,000 shares in British semiconductor and software design giant Arm Holdings PLC for US$6.4mn (RM29.5mn), cash.

Malaysia Marine and Heavy Engineering Holdings Bhd has entered into a MoU with HD Hyundai Marine Solution Co Ltd to be the latter’s strategic partner for green retrofit solutions installation within the regional territory in Southern Asia.

Euro Holdings Bhd said the High Court on Tuesday struck out the lawsuit filed by Surian Creation Sdn Bhd against the furniture maker and its former managing director Datuk Seri Lim Teck Boon.

Sorento Capital Bhd has signed an underwriting agreement with Alliance Islamic Bank Bhd as part of its upcoming IPO on the ACE Market of Bursa Malaysia.

OB Holdings Bhd, a food and beverage and dietary supplements manufacturing services provider, has entered into an underwriting agreement with Alliance Islamic Bank Bhd for its upcoming IPO on the ACE Market of Bursa Malaysia.

Magni-Tech Industries Bhd reported a 36.4% increase in net profit to RM44.6mn for its 1QFY2025, from RM32.7mn a year earlier, on the back of higher revenue across its business segments.",Business,Corporate News,Complimentary,Medium,,2024-09-04 00:00:00,"Corporate News,Bursa Malaysia,FBM KLCI,equities,trading,investor,commodity,stocks",KUALA LUMPUR: Here is a recap of the announcements that made headlines in Corporate Malaysia.,https://www.thestar.com.my/business/business-news/2024/09/04/trading-ideas-cypark-power-root-solarvest-alpha-ivf-awc-wellcall-mmhe-euro-sorento-ob-magni-tech,https://apicms.thestar.com.my/uploads/images/2024/09/04/2894916.jpg
1343331,"Trading ideas: Sime Plantation, Sapura Energy, Power Root, OCK, Pekat, Yinson, Mobilia, Siab, Ireka","KUALA LUMPUR: Here is a recap of the headline-making corporate announcements.

Sime Darby Plantation Bhd is making a foray into green industrial park, starting with the proposed development of the Kerian Integrated Green Industrial Park in Perak.

Sapura Energy Bhd ’s joint venture companies have bagged contracts from Petroleo Brasileiro Sa worth USD1.8bn (RM8.5bn) to provide engineering services via six pipe-laying support vessels.

Power Root Bhd 's subsidiaries have successfully recovered trademark of its own “Ah Huat” brand for coffee and tea beverages, after reaching an amicable out-of-court settlement with its Indonesian distributor CV Ego Sun Star Sukses Mandiri.

OCK Group Bhd has entered into a 15-year tower leasing agreement with Best Telecom Co Ltd, marking its entry into Laos, where Best Telecom plans to launch their 5G network by the end of the year.

Pekat Group Bhd has signed a non-binding agreement to acquire a stake in switchgears supplier EPE Switchgear (M) Sdn Bhd.

The takeover bid by Yinson Holdings Bhd ’s major shareholder for Icon Offshore Bhd has turned unconditional after it received more than 50% of voting shares.

Mobilia Holdings Bhd is planning to issue up to 218.8mn free warrants (Warrants-B), on the basis of one Warrant-B for every four existing shares held, and the indicative exercise price is 15 sen apiece.

Siab Holdings Bhd has signed an underwriting agreement with M&A Securities and NewParadigm Securities Sdn Bhd for the group's rights issue with warrant exercise, aiming to raise RM92.0mn.

Ireka Corp Bhd 's subsidiary, Ireka Development (Terengganu) Sdn Bhd, and its directors are facing legal action from the Employee Provident Fund over unpaid contributions amounting to RM50,196.

Urusharta Jamaah Sdn Bhd, a special purpose vehicle established under the Ministry of Finance to rehabilitate, restructure and monetise underperforming assets transferred to it from Lembaga Tabung Haji, has emerged as a substantial shareholder in Prolintas Infra Business Trust.

CTOS Digital Bhd posted a 25.6% YoY jump in its 1QFY24 net profit to RM20.8mn, as it recorded higher revenue and lower tax expense following the approval of a tax incentive for its main subsidiary CTOS Data Systems Sdn Bhd.

Awanbiru Technology Bhd reported a net profit of RM2.1mn for 3QFY24, a significant turnaround from the net loss of RM2.0mn a year ago, as its software and services segment secured major contracts with higher revenue.",Business,Corporate News,Complimentary,Medium,,2024-05-08 00:00:00,"Corporate News,Trading ideas,Sime Darby Plantation,Sapura Energy,Power Root,OCK,Pekat,Yinson,Mobilia,Siab,Ireka",KUALA LUMPUR: Here is a recap of the headline-making corporate announcements.,https://www.thestar.com.my/business/business-news/2024/05/08/trading-ideas-sime-plantation-sapura-energy-power-root-ock-pekat-yinson-mobilia-siab-ireka,https://apicms.thestar.com.my/uploads/images/2024/05/08/2682996.JPG
1277823,Paper dragons a symbol of unity,"Mydin Mohamed Holdings Bhd (Mydin) made it into the Malaysia Book of Records for distributing 102,064 paper craft dragons through inserts in The Star newspaper.

These colourful paper craft that could be assembled into the shape of a dragon also made their way to several Klang Valley schools.

A video of the project, from the insertion of the paper craft at The Star’s printing plant to assembly by school students was displayed at the “Kongsi Meriah” launch at Mydin USJ, Subang Jaya in conjunction with the Year of the Dragon.

The award for the “Most Dragon Paper Craft In A Day” was received by Mydin executive director Ahimmat Mydin, witnessed by National Unity Minister Datuk Aaron Ago Dagang.

Aaron welcomed Mydin’s initiative, which promoted harmony and unity, and urged other companies to emulate the wholesaler and retailer.

“Together with Mydin, the Unity Ministry had also identified and distributed Bakul Rahmah Mydin to 500 recipients in Selangor, Melaka and Johor,” he said.

Ahimmat said Mydin celebrated the diversity of festivals in the country.

“Mydin now stands tall with many other large malls in the country thanks to Malaysians,” he said, adding that without the support of people of all races and backgrounds, they would not have made it this far in such a challenging business environment.

He also said the company was grateful for the support it received from the Chinese community.

As such, he said, “Mydin has curated numerous promotions, activities and discounts for customers’ Chinese New Year celebrations.”

He added that Mydin was also organising the “Kongsi Sama-Sama” competition in which 28 customers stood a chance to win a free lion dance performance at their home.

To qualify, customers must spend a minimum of RM118 on selected items at Mydin.

In addition, Mydin organised the Snap and Win competition that offered RM8,800 worth of vouchers to customers who uploaded creative photos while assembling the paper dragons.

Mydin has collaborated with five ewallet companies – Boost, MCash, Setel, SPayLater and WavPay – to ensure shoppers have a pleasant experience at its outlets.

SPayLater, Abbott, Armor All, Blossom, California Scents, Coca-Cola, Cutie, Darlie, Diapex, Dutch Lady, Energizer, Eveready, F&N, Intimate, Power Root, Premier and Royal Gold are strategic partners for the campaigns.",Metro,Metro News,Complimentary,Medium,,2024-02-06 00:00:00,"Mydin,CNY","Mydin Mohamed Holdings Bhd (Mydin) made it into the Malaysia Book of Records for distributing 102,064 paper craft dragons through inserts in The Star newspaper.",https://www.thestar.com.my/metro/metro-news/2024/02/06/paper-dragons-a-symbol-of-unity,https://apicms.thestar.com.my/uploads/images/2024/02/06/2529762.jpg
