Company,Year,Reliability Score,Relevance Score,Understandability Score,Mean Score
Berjaya,2016,8,7,8,7.6667
Berjaya,2017,8,7,8,7.6667
Berjaya,2018,8.5,7.7,8.5,8.2333
Berjaya,2020,8,7,7,7.3333
Berjaya,2021,8.1,7.6,7.5,7.7333
Berjaya,2023,8,7,8,7.6667
Berjaya,2024,8,7,8,7.6667
F&N,2016,8,7,8,7.6667
F&N,2017,8.5,8,8,8.1667
F&N,2018,8,7,8,7.6667
F&N,2019,8.1,7.7,8.1,7.9667
F&N,2020,7.4,7.1,7.15,7.2167
F&N,2021,8.5,8,8,8.1667
F&N,2022,8.5,8.2,8.0,8.2333
F&N,2023,8.5,7.5,8,8.0
Power,2016,8.5,7.5,8,8.0
Power,2017,8.3,7.5,8,7.9333
Power,2018,7.3,6.3,7.5,7.0333
QL,2016,8,8,8,8.0
QL,2017,7.5,7,8.5,7.6667
QL,2018,8.5,7.5,8,8.0
QL,2019,8.5,7.5,8,8.0
QL,2020,8.5,8,7,7.8333
QL,2021,8,7,7,7.3333
QL,2022,9,8,8,8.3333
QL,2023,9,7.5,7.3,7.9333
QL,2024,8.5,8,8.5,8.3333
